Año,Trimestre,Banda ancha fija,Dial up,Total,Id_Provincia,Año-Trimestre
2021,3,56253,1,56254,3,20213
2021,3,139868,3,139871,4,20213
2021,3,155266,800,156066,5,20213
2021,3,946726,62,946788,6,20213
2021,3,133816,3,133819,7,20213
2021,3,260360,15,260375,8,20213
2021,3,52795,0,52795,9,20213
2021,3,111158,0,111158,10,20213
2021,3,100371,116,100487,11,20213
2021,3,82157,3,82160,12,20213
2021,3,255320,619,255939,13,20213
2021,3,158528,0,158528,14,20213
2021,3,139436,373,139809,15,20213
2021,3,144084,501,144585,16,20213
2021,3,195831,2,195833,17,20213
2021,3,79227,256,79483,18,20213
2021,3,117716,148,117864,19,20213
2021,3,48779,197,48976,20,20213
2021,3,841433,151,841584,21,20213
2021,3,115457,1,115458,22,20213
2021,3,49934,289,50223,23,20213
2021,3,232447,25,232472,24,20213
2021,2,4127167,5184,4132351,2,20212
2021,2,1398747,1608,1400355,1,20212
2021,2,55743,1,55744,3,20212
2021,2,140726,3,140729,4,20212
2021,2,138412,825,139237,5,20212
2021,2,930818,62,930880,6,20212
2021,2,129498,3,129501,7,20212
2021,2,257617,15,257632,8,20212
2021,2,51551,0,51551,9,20212
2021,2,111848,0,111848,10,20212
2021,2,97551,116,97667,11,20212
2021,2,81599,3,81602,12,20212
2021,2,229052,619,229671,13,20212
2021,2,156176,0,156176,14,20212
2021,2,137877,373,138250,15,20212
2021,2,143583,501,144084,16,20212
2021,2,191637,2,191639,17,20212
2021,2,78677,256,78933,18,20212
2021,2,122670,148,122818,19,20212
2021,2,48785,197,48982,20,20212
2021,2,840449,151,840600,21,20212
2021,2,114089,1,114090,22,20212
2021,2,35404,289,35693,23,20212
2021,2,233026,25,233051,24,20212
2021,1,4054936,5066,4060002,2,20211
2021,1,1378283,1390,1379673,1,20211
2021,1,51967,1,51968,3,20211
2021,1,139767,3,139770,4,20211
2021,1,131515,825,132340,5,20211
2021,1,910826,55,910881,6,20211
2021,1,126622,3,126625,7,20211
2021,1,251950,13,251963,8,20211
2021,1,50686,0,50686,9,20211
2021,1,110456,0,110456,10,20211
